axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1580.5305305305305	3	0.48426136952781373	1.5382659122120134e-09	1
6283185.307179586	2617.1171171171172	3	0.7346982929222272	-1.3537202044511178e-09	1
6283185.307179586	1858.8088088088089	7	1.3851371551181217	-1.709504577527274e-09	1
6283185.307179586	1107.4574574574574	7	0.6196200681727966	7.948801984272233e-11	2
6283185.307179586	1023.973973973974	7	0.015278910594359152	1.05952067051626e-09	1
6283185.307179586	1928.3783783783783	3	-1.4886554715642968	1.4132565854348213e-09	1
6283185.307179586	1295.2952952952953	4	-1.3382740975826986	1.7952696587423305e-09	1
6283185.307179586	1664.014014014014	4	-0.8208625786259897	7.402110842979442e-10	1
6283185.307179586	2672.772772772773	8	-0.4017275403207903	-1.4112797507191447e-09	1
6283185.307179586	717.8678678678679	3	-1.479664137253797	-1.3764778997982311e-13	1
6283185.307179586	1135.2852852852852	4	-1.1975818609770108	1.9668912293368736e-09	1
6283185.307179586	829.1791791791792	5	-0.24732859073399327	-7.537042517288808e-10	1
6283185.307179586	2665.8158158158158	6	-1.2878349301271228	7.142339229271755e-10	2
6283185.307179586	2046.6466466466468	7	-0.6364899081416313	-1.2812254139888243e-09	1
6283185.307179586	2568.4184184184187	8	-0.0058151207898640145	-3.9342488045162893e-10	1
6283185.307179586	1483.1331331331332	1	1.3475021686830488	1.5776963864248926e-09	2
6283185.307179586	1796.1961961961963	7	0.023879234745227018	3.389371690784824e-10	1
6283185.307179586	2575.3753753753754	1	-0.8329948480726266	5.285044537741999e-10	1
6283185.307179586	2477.977977977978	2	-0.12716006902272525	7.557733243357748e-10	1
6283185.307179586	836.1361361361362	5	1.440489821738724	-1.2807462766644818e-09	1
6283185.307179586	1900.5505505505505	5	0.597261444634698	7.350111874778155e-11	1
6283185.307179586	3062.3623623623625	4	-1.4349045706412507	4.197345015535866e-10	1
6283185.307179586	690.04004004004	2	0.4475683776385275	4.38923838883449e-10	1
6283185.307179586	1608.3583583583584	7	-0.4616880165239021	1.8717020798618156e-09	1
6283185.307179586	2081.4314314314315	5	-1.4210467768348987	-1.6750295506235544e-09	2
6283185.307179586	2923.223223223223	3	-0.9060134862684504	1.960695776462295e-09	1
6283185.307179586	1490.0900900900901	4	1.4576662811566812	1.7139511523846457e-09	2
6283185.307179586	1559.6596596596596	1	-1.2353554725795837	-1.62045574315915e-09	1
6283185.307179586	1427.4774774774776	5	-0.08772094221581206	-1.307857032333988e-09	1
6283185.307179586	1337.0370370370372	7	-0.17199714805858157	5.054676581074143e-10	1
6283185.307179586	1177.027027027027	1	0.9457590026936717	9.970240494392245e-10	1
6283185.307179586	1636.1861861861862	6	-0.7101374193153175	9.944816362445243e-10	1
6283185.307179586	1844.8948948948948	7	0.8775781014433535	-6.961356913728612e-10	1
6283185.307179586	3820.670670670671	6	-0.04423822635537511	1.1445033199739933e-09	1
6283185.307179586	599.5995995995996	4	1.0533407599530284	-9.904139761299913e-10	2
6283185.307179586	1517.917917917918	2	-0.1622641203283992	1.0458364367195002e-10	1
6283185.307179586	1253.5535535535537	4	0.15244444650845002	-1.7549337059095214e-09	1
6283185.307179586	1670.970970970971	5	-0.1074728209891258	1.2382978015221305e-09	1
6283185.307179586	1218.7687687687687	1	-1.170594705389612	-9.366691497550974e-10	2
6283185.307179586	1371.821821821822	4	0.32344768222355236	-1.0878136623492872e-09	1
6283185.307179586	3222.3723723723724	6	-0.6590917388963636	-1.954525989587943e-09	1
6283185.307179586	1378.7787787787788	6	-1.1129194117074976	-1.6983480498563144e-09	1
6283185.307179586	2714.5145145145148	2	-1.3186693309144535	-1.963406653552509e-09	1
6283185.307179586	1928.3783783783783	6	0.6730350212774496	-2.2769485019558785e-10	2
6283185.307179586	1399.6496496496497	7	0.3080664386222436	1.3392349674146641e-09	1
6283185.307179586	1594.4444444444446	2	0.3147313947403605	8.808468065141922e-10	1
6283185.307179586	1330.08008008008	8	0.040622043923982165	-9.256646996436224e-10	1
6283185.307179586	1824.0240240240241	6	-0.06372877801754773	-1.86402438250258e-09	1
6283185.307179586	696.996996996997	5	0.4206167213794314	7.317772364531602e-11	1
6283185.307179586	1942.2922922922924	8	-1.4098260983067168	1.8364398726368876e-09	1
6283185.307179586	1211.8118118118118	1	-0.13991623637400474	-1.961828594699904e-09	1
6283185.307179586	1023.973973973974	5	1.1022264646509492	-1.0249305192228162e-09	1
6283185.307179586	1622.2722722722724	6	0.9431577552815424	-1.4535698330300578e-09	1
6283185.307179586	1636.1861861861862	1	0.9244765780063964	-2.0343433796914533e-10	2
6283185.307179586	1810.11011011011	5	1.1692837012001451	6.958700344767717e-10	1
