axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1949.2492492492493	8	-0.8837072703485086	1.7859358154350645e-09	1
6283185.307179586	787.4374374374374	3	-0.6869410713867339	3.0187213632139e-10	2
6283185.307179586	2477.977977977978	7	-0.6208007960242408	-4.0721351227156e-10	1
6283185.307179586	634.3843843843844	7	-1.1932827140309894	-1.4677074947260628e-09	1
6283185.307179586	1712.7127127127128	8	0.7122516078030041	1.6245465486911694e-09	1
6283185.307179586	1664.014014014014	4	0.014490787587364329	1.3718889995503368e-09	1
6283185.307179586	1385.7357357357357	5	-0.004144143365988784	-1.4652412902504018e-09	1
6283185.307179586	1149.1991991991993	4	-0.023606494942007172	6.691766666720417e-10	1
6283185.307179586	1420.5205205205204	2	1.1358215686872457	-1.6103722377578109e-09	1
6283185.307179586	1378.7787787787788	4	-1.1678241171113102	5.965830022815318e-10	2
6283185.307179586	1107.4574574574574	1	-0.40006724522510617	1.997796510396914e-09	1
6283185.307179586	1309.2092092092093	1	1.1872580575566842	-9.449144342783745e-10	2
6283185.307179586	1587.4874874874874	6	0.05836271481253097	3.547765151589541e-10	1
6283185.307179586	1476.176176176176	3	1.4235417006963318	1.3449942817535463e-09	2
6283185.307179586	2366.6666666666665	3	-0.20817889311528837	-4.151390530729677e-10	1
6283185.307179586	3215.4154154154153	3	-1.1796933651099026	-1.9939950708482283e-09	0
6283185.307179586	2081.4314314314315	1	0.9880805764401348	-1.962283843188554e-09	1
6283185.307179586	1740.5405405405406	8	0.7463793784134185	1.0761902512214404e-09	1
6283185.307179586	898.7487487487488	3	0.5673827838543275	1.8696857242613445e-09	1
6283185.307179586	724.8248248248249	4	0.5737527224004864	-3.144487959281897e-10	2
6283185.307179586	1441.3913913913914	8	1.404878461463098	-1.2661332861209638e-11	1
6283185.307179586	773.5235235235235	5	0.807744079490949	-7.01178605670783e-10	1
6283185.307179586	1260.5105105105106	1	-0.49115857099839255	1.8147619117806796e-09	1
6283185.307179586	1629.2292292292293	7	-0.41387942993351445	-5.098297072569885e-10	1
6283185.307179586	3159.75975975976	5	-1.56012121037082	-5.118374904281656e-10	1
6283185.307179586	1963.1631631631633	5	-1.4584521277929299	6.574825519601836e-10	2
6283185.307179586	1427.4774774774776	6	-0.42623107951623784	1.7201794147684094e-09	1
6283185.307179586	1023.973973973974	8	1.3597348600846555	1.164936673954538e-09	1
6283185.307179586	2102.3023023023025	6	1.1203416427895805	2.276041834497757e-10	2
6283185.307179586	1782.2822822822823	4	0.8336697909532735	-1.6764430949854634e-09	1
6283185.307179586	3159.75975975976	3	-0.3002665717551787	3.5557967460996286e-10	1
6283185.307179586	2157.957957957958	5	-1.2208455443145314	-8.896246879224727e-10	2
6283185.307179586	1921.4214214214214	8	0.9968771217022465	7.384622423634258e-10	2
6283185.307179586	1810.11011011011	1	-1.0290529488275126	1.8564045874610989e-09	1
6283185.307179586	2276.226226226226	5	-1.122094383548819	-4.464353668490637e-10	2
6283185.307179586	1942.2922922922924	4	0.10889849488018388	-1.7022852452337812e-09	1
6283185.307179586	877.877877877878	8	-0.10510011150443122	1.1365770776609876e-09	1
6283185.307179586	1183.983983983984	2	0.1592987990425918	2.1982813301267347e-11	1
6283185.307179586	1740.5405405405406	4	1.1470841816834505	-1.9756618709622307e-09	1
6283185.307179586	2241.4414414414414	3	-1.5285362361752273	-1.6398551563483253e-09	1
6283185.307179586	2297.097097097097	7	-1.40650481720067	-1.2274498929256632e-09	2
6283185.307179586	1942.2922922922924	1	-0.9125348205527037	-1.1848316834212219e-09	1
6283185.307179586	1142.2422422422424	5	0.8574066089004786	-1.019019096378735e-09	1
6283185.307179586	2679.72972972973	1	1.110423540211261	-8.904043843033193e-10	1
6283185.307179586	2046.6466466466468	2	1.111181149226124	-1.4543748427238837e-09	1
