axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	2359.70970970971	3	-0.4538482831478685	1.1292167362063395e-09	1
6283185.307179586	3083.2332332332335	7	1.285991381771105	-4.896278161149402e-11	1
6283185.307179586	1705.755755755756	1	-1.420689465198087	-9.445254549580255e-10	2
6283185.307179586	1142.2422422422424	7	-1.1877353786761145	-1.1637216023747945e-09	1
6283185.307179586	3375.4254254254256	9	1.486829984015066	1.5077772975696113e-09	2
6283185.307179586	1990.9909909909911	8	-1.1036501739043825	3.2592989368826027e-10	2
6283185.307179586	3959.80980980981	2	1.341862516833673	-1.4185971161865241e-09	1
6283185.307179586	1872.7227227227227	9	-1.0557827978703813	-1.2510330479962614e-09	1
6283185.307179586	3792.842842842843	6	-1.1042486045358062	-1.7424502642201893e-09	1
6283185.307179586	390.8908908908909	6	0.08824271571596665	-2.535559123254461e-11	1
6283185.307179586	1455.3053053053054	2	0.22455225425930592	1.4960271257869777e-09	1
6283185.307179586	1914.4644644644645	5	0.8285438973072279	-1.3175144303058693e-09	1
6283185.307179586	1851.851851851852	6	0.19825042847255925	8.300081394795091e-10	1
6283185.307179586	1810.11011011011	6	-1.3217606173286827	-1.7623575689494337e-09	1
6283185.307179586	1128.3283283283283	9	-0.006491092583879032	-1.7097647072873077e-10	1
6283185.307179586	947.4474474474474	6	0.09064396596373103	1.0907763261136906e-09	1
6283185.307179586	968.3183183183183	5	-0.3453331045580448	1.2333694592510412e-09	1
6283185.307179586	975.2752752752752	1	-1.1594048270431005	1.3210837721694054e-09	1
6283185.307179586	265.66566566566564	1	0.32487726802573924	2.6531878193879267e-11	1
6283185.307179586	1107.4574574574574	8	-0.5523955658726947	-1.0986425039521701e-09	1
6283185.307179586	2874.5245245245246	9	1.5135283283402967	-1.656447921454543e-09	2
6283185.307179586	2331.881881881882	6	-0.5842828586562524	8.648466268031596e-10	1
6283185.307179586	1636.1861861861862	2	1.054110261567729	3.7397293457671477e-10	2
6283185.307179586	968.3183183183183	5	-1.423811843879125	-8.943353075732992e-10	1
6283185.307179586	2234.4844844844847	1	-0.8028600741749619	1.5311418175506768e-10	2
6283185.307179586	1719.6696696696697	3	-1.3141699425588675	-1.1115797003778808e-09	2
6283185.307179586	2373.6236236236236	9	1.0706491761275028	3.5581050553563244e-11	2
6283185.307179586	1858.8088088088089	8	-1.1009934558980223	7.965946529327654e-10	2
6283185.307179586	1385.7357357357357	5	1.4234959329219632	-1.2166423545075574e-09	2
6283185.307179586	2123.1731731731734	4	0.6326046076434255	-1.2698801400378824e-09	1
6283185.307179586	2610.16016016016	5	-0.8949121685555799	3.980069363819161e-10	1
6283185.307179586	1594.4444444444446	3	1.4984557014543864	-1.6861006657812232e-09	2
6283185.307179586	4224.174174174174	5	-0.6685227739398827	-1.309194657008317e-09	1
6283185.307179586	1051.801801801802	8	-1.5020684010351901	1.6938402405664076e-09	1
6283185.307179586	2178.828828828829	4	1.312757772661524	9.52596768026831e-10	1
6283185.307179586	2116.2162162162163	1	-1.5654356660227187	-1.852400640317629e-09	2
6283185.307179586	1629.2292292292293	9	0.9688412576888794	1.9357455918632132e-09	1
6283185.307179586	1100.5005005005005	6	0.9645370995213587	1.7918367981449202e-09	1
6283185.307179586	1893.5935935935936	5	-0.03455532769926983	1.2272344077965014e-09	1
6283185.307179586	1023.973973973974	9	1.2807883858635574	-1.238950481870356e-10	1
6283185.307179586	2053.603603603604	3	-1.0391746286311894	1.0381434894608916e-09	1
6283185.307179586	1135.2852852852852	3	1.2912257991649403	9.392470785722443e-10	1
6283185.307179586	2081.4314314314315	3	0.6614640279341857	-4.669572217930033e-10	1
6283185.307179586	2477.977977977978	8	0.5507842974260391	1.1540893832167059e-09	1
6283185.307179586	1851.851851851852	1	1.2214977677872585	-1.3151047709458286e-10	2
6283185.307179586	3229.3293293293295	7	-1.3886767847208181	-1.9774009366649784e-09	1
6283185.307179586	1343.993993993994	8	0.07833115238268773	4.603743711166735e-10	1
6283185.307179586	905.7057057057058	6	1.2229469490750646	8.188110212378766e-10	2
6283185.307179586	2853.6536536536537	3	-0.3043968086130098	1.5728332955391672e-09	1
6283185.307179586	2185.7857857857857	6	0.35954191126436896	-9.255521256747708e-10	1
6283185.307179586	1970.1201201201202	7	-0.7856925363689018	-1.5753349044675608e-09	1
6283185.307179586	1357.9079079079079	3	1.1529178239478428	7.067728127303755e-10	2
6283185.307179586	1190.940940940941	4	-0.2848271574685155	-6.061808276048053e-10	1
6283185.307179586	2095.3453453453453	4	-0.847441603426237	7.244446222849507e-10	1
6283185.307179586	766.5665665665666	1	0.03869772945910288	1.9334640989724656e-09	1
6283185.307179586	1740.5405405405406	9	-0.6683973696723826	-5.567485708917811e-10	1
6283185.307179586	1058.7587587587586	2	0.49649923699344534	1.6789685280627797e-09	1
6283185.307179586	460.46046046046047	7	0.05068992516270088	-1.7122800980420015e-09	1
6283185.307179586	961.3613613613613	7	0.3814409168540325	4.972991624206253e-10	1
6283185.307179586	836.1361361361362	3	0.9887180184050028	1.9895226726785606e-09	1
6283185.307179586	2617.1171171171172	1	-0.7360021768164908	-1.9768424371728246e-09	1
6283185.307179586	2137.087087087087	3	-1.1428088946418358	9.661571899304974e-10	1
6283185.307179586	2484.934934934935	6	0.9369892010053973	1.0643808568639272e-09	1
6283185.307179586	2164.914914914915	8	1.2654222690252253	-1.230415820724178e-09	1
6283185.307179586	655.2552552552553	2	-0.7529131148306021	8.673975204250933e-10	1
6283185.307179586	1552.7027027027027	7	0.3695059572254693	1.343905213911167e-09	1
6283185.307179586	2123.1731731731734	9	1.4166026714842719	-1.75803797465517e-09	2
6283185.307179586	1448.3483483483483	1	-0.48493083957925687	-1.0701213514622771e-09	1
6283185.307179586	1030.930930930931	6	1.43855055034892	-7.645378915428009e-10	2
6283185.307179586	717.8678678678679	9	-0.5114057010887914	-1.2238842003217147e-09	1
6283185.307179586	1483.1331331331332	1	1.4050958019646536	-1.5230558053677617e-09	2
6283185.307179586	1392.6926926926926	8	-1.3010167594309736	-8.519091592773167e-10	1
