axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1427.4774774774776	4	1.150662691535366	7.884148374896568e-10	2
6283185.307179586	1719.6696696696697	1	1.3203847871263141	-3.0110397262743233e-10	2
6283185.307179586	836.1361361361362	2	1.4466630793585042	-1.6849286690441485e-09	1
6283185.307179586	1441.3913913913914	3	0.7588974309947529	6.165487577294279e-10	1
6283185.307179586	2067.5175175175173	2	0.33852907362015894	-8.819987366156234e-10	0
6283185.307179586	2888.4384384384384	2	1.4308620947767752	-7.567313800637145e-10	2
6283185.307179586	2324.924924924925	1	1.455056289067591	-3.1975484529879897e-10	2
6283185.307179586	870.9209209209209	1	-0.9819202984167342	-2.5650609737219854e-11	2
6283185.307179586	3194.544544544545	2	0.43201555135148473	8.132622123124602e-10	0
6283185.307179586	1170.0700700700702	4	0.2945129669233235	1.6675611145598077e-10	2
6283185.307179586	863.963963963964	3	0.39476696440990233	2.3041267496856906e-10	2
6283185.307179586	1851.851851851852	3	0.39469436222991083	-3.611306517421441e-10	1
6283185.307179586	1817.0670670670672	1	-0.15750436280868874	8.448608290989642e-10	0
6283185.307179586	2088.388388388388	2	-0.16244807359240432	-2.9821103668848626e-10	1
6283185.307179586	1580.5305305305305	4	0.1022112452385715	3.447649664806852e-10	2
6283185.307179586	975.2752752752752	1	-1.4627258687991787	1.7731492354483086e-09	1
6283185.307179586	2721.4714714714714	1	1.0054786745164854	-3.271686671442126e-10	2
6283185.307179586	1914.4644644644645	3	-0.283427414473564	1.5599884375428048e-10	1
6283185.307179586	1149.1991991991993	3	-0.690833316920944	7.09306294306218e-10	1
6283185.307179586	1629.2292292292293	1	-0.4266303208766531	1.0448948745591094e-09	0
6283185.307179586	1010.0600600600601	2	-1.397877905241445	4.74674225747876e-10	2
6283185.307179586	3124.974974974975	3	-1.1008403797542998	-1.476115596833167e-09	0
6283185.307179586	2373.6236236236236	4	0.9819719339831612	-1.1461755925477215e-09	0
6283185.307179586	1364.864864864865	3	-0.824532316385328	-1.4762788370238465e-09	0
6283185.307179586	1670.970970970971	3	-0.724773961663413	1.8740761194953697e-09	0
6283185.307179586	3020.6206206206207	2	0.8226314859388579	-1.0065493792308694e-10	1
6283185.307179586	954.4044044044044	1	-0.6484226110255994	1.867479274684061e-09	0
6283185.307179586	3166.7167167167167	1	0.4631693038899627	-1.4860057127967039e-09	0
6283185.307179586	2394.4944944944946	2	-1.2452521946245332	-9.6096342800675e-10	1
6283185.307179586	1190.940940940941	2	0.30700800009743245	-1.4985943037058862e-09	0
6283185.307179586	1712.7127127127128	2	0.7372132581812116	8.483244299199139e-11	1
6283185.307179586	1580.5305305305305	1	-0.9540763013797517	-8.508207764912435e-10	2
6283185.307179586	1879.6796796796798	2	-0.11665554666285938	-8.251138483273298e-10	0
6283185.307179586	1156.1561561561562	2	-0.5359583491752204	3.159114787020237e-10	2
6283185.307179586	1378.7787787787788	2	-1.3798271603002228	-1.8405168064006696e-09	2
6283185.307179586	2874.5245245245246	2	-1.3300475468882702	3.969348357335073e-10	1
6283185.307179586	2151.001001001001	3	-0.8897852814427442	6.349979839268275e-10	1
6283185.307179586	968.3183183183183	2	1.023428886246505	9.782426752960684e-10	1
6283185.307179586	411.76176176176176	4	-1.1147090503870838	2.425986475681729e-10	2
6283185.307179586	975.2752752752752	1	-1.004491315072174	-4.006783872297208e-10	2
6283185.307179586	585.6856856856857	4	0.9753337623677822	1.8178057326417297e-09	2
