axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	516.1161161161161	6	1.4397102766773	-1.8313791069221717e-09	1
6283185.307179586	1455.3053053053054	8	-0.6682577408489672	7.345047630252791e-10	1
6283185.307179586	919.6196196196197	9	-0.4032297172003696	6.169062991011766e-10	2
6283185.307179586	1462.2622622622623	6	-0.6597951634451567	1.0049708018009707e-09	1
6283185.307179586	2220.5705705705705	5	0.43257797648865903	-1.3038008256536845e-09	1
6283185.307179586	2262.3123123123123	8	-1.2971387130815657	-1.4834032275948146e-10	1
6283185.307179586	1580.5305305305305	2	0.24826104959350537	-2.2075110498835076e-10	2
6283185.307179586	1879.6796796796798	5	0.10059668558103896	8.579563796266522e-10	1
6283185.307179586	2290.1401401401404	6	1.1103741962247344	1.8807228814105825e-09	1
6283185.307179586	2512.762762762763	5	1.3963221015339689	1.1597693877854237e-10	2
6283185.307179586	884.8348348348349	6	-1.1298898723546873	6.044175269689946e-10	1
6283185.307179586	2839.73973973974	10	-0.5867296368254763	9.706751851729475e-10	1
6283185.307179586	3361.511511511512	3	0.9158666163566016	-1.18795772410844e-09	1
6283185.307179586	564.8148148148148	8	-1.1058758949208238	1.965252620451225e-10	2
6283185.307179586	3145.845845845846	8	-0.2579927903773358	-1.594973199644709e-10	1
6283185.307179586	1719.6696696696697	8	-0.6128367455229177	1.9607101427732849e-10	1
6283185.307179586	1796.1961961961963	6	1.187692766322404	3.647584549296261e-10	2
6283185.307179586	787.4374374374374	1	0.30356400417310847	-9.00390820187199e-10	2
6283185.307179586	1232.6826826826828	8	0.1327474034612628	6.22137993959707e-10	1
6283185.307179586	2540.5905905905906	8	-1.1976718808931912	-1.9381408763298955e-09	1
6283185.307179586	1274.4244244244244	10	1.4224925412938694	-1.0715223490976996e-09	2
6283185.307179586	1594.4444444444446	6	-0.9053845266075813	-1.2605976968080098e-09	1
6283185.307179586	3111.061061061061	6	0.04329627893010457	1.6853817614146648e-09	1
6283185.307179586	2067.5175175175173	6	1.159942361095745	1.874846064692039e-09	1
6283185.307179586	2784.084084084084	1	1.297636687500137	1.7520812964266976e-09	1
6283185.307179586	1844.8948948948948	9	-0.9638878877601964	-5.131680636640321e-10	2
6283185.307179586	1434.4344344344345	8	1.5330811856487778	2.599567635592784e-10	2
6283185.307179586	2067.5175175175173	9	0.263354816916644	-1.440066113720171e-09	1
6283185.307179586	1872.7227227227227	2	-1.4486583523626104	-1.5020633526560709e-09	2
6283185.307179586	1253.5535535535537	6	1.50962281933587	-1.1271654639170294e-09	1
6283185.307179586	2408.4084084084084	5	0.45285677281913683	-1.4301555533609558e-09	1
6283185.307179586	1371.821821821822	5	1.2806650904802628	-1.8189189835456189e-09	1
6283185.307179586	2415.3653653653655	9	1.534916893908532	-1.861729575551303e-09	2
6283185.307179586	1552.7027027027027	6	-0.6343805167127476	3.536256337239695e-10	2
6283185.307179586	2220.5705705705705	6	-0.740328863533744	-2.3127049382630185e-10	1
6283185.307179586	265.66566566566564	5	-0.2906622188908172	-8.01555051539808e-10	1
6283185.307179586	1462.2622622622623	1	0.9656739863836679	-5.515291389773406e-10	2
6283185.307179586	738.7387387387388	8	0.7412700389354065	1.0379518816245494e-09	2
6283185.307179586	2311.011011011011	6	0.1750951564322012	-1.957985414876468e-09	1
6283185.307179586	1698.7987987987988	10	1.1047838956989895	-5.69342719285149e-10	2
6283185.307179586	2554.5045045045044	1	-0.42896135228473886	9.385928635464017e-10	1
6283185.307179586	3201.5015015015015	10	-1.1144751738486127	-1.089679202666268e-09	1
6283185.307179586	1044.8448448448448	7	-0.26263456278300934	-1.234450294965142e-10	2
6283185.307179586	1872.7227227227227	10	-0.39250300706101693	1.1445011942415213e-09	1
6283185.307179586	1914.4644644644645	6	-0.6031323629918753	-2.943308433962156e-10	1
6283185.307179586	912.6626626626627	4	0.35308995555039835	-3.7560448836099473e-10	1
6283185.307179586	1260.5105105105106	5	1.5526045337062349	1.8076036625988328e-09	2
6283185.307179586	1629.2292292292293	3	-1.3809252780876256	-1.0468343492037346e-09	2
6283185.307179586	2749.2992992992995	6	-1.5272057188551085	-9.00231443530517e-10	1
6283185.307179586	1949.2492492492493	5	-0.9286362814308531	1.2715065576327475e-10	1
6283185.307179586	2471.021021021021	3	0.23615592637906535	-1.1017661216381432e-09	1
6283185.307179586	2818.868868868869	3	-0.5811598896308965	-6.695528586445351e-10	1
6283185.307179586	2053.603603603604	3	-0.4500649110082502	-5.853091255687084e-10	1
6283185.307179586	2095.3453453453453	9	1.5641864686461475	1.54552903238893e-09	2
6283185.307179586	1406.6066066066066	7	-1.1610425692748367	7.22647152200748e-10	1
6283185.307179586	1921.4214214214214	9	0.6292214127071651	5.530901142114562e-10	1
6283185.307179586	648.2982982982983	1	-0.3015562603362294	-1.479250298781673e-09	1
6283185.307179586	1183.983983983984	8	0.2423426672262965	-1.5553687945018955e-09	1
6283185.307179586	2617.1171171171172	1	-0.24096816684617917	5.026284300415404e-10	1
6283185.307179586	3104.1041041041044	4	1.2951656697662695	-4.442793845493709e-10	1
6283185.307179586	2234.4844844844847	9	-1.186648054999685	5.5051343310147583e-11	2
6283185.307179586	3591.091091091091	2	0.2984218505778331	-1.5769747614955803e-09	1
6283185.307179586	1622.2722722722724	5	0.11293671511176862	6.413829131718758e-10	1
6283185.307179586	1615.3153153153153	6	0.09938888696653447	1.320589303943268e-09	1
6283185.307179586	738.7387387387388	7	-0.928506199494775	1.4627678919516795e-09	1
6283185.307179586	2081.4314314314315	9	-0.53390724963938	9.86171286090124e-10	1
6283185.307179586	1170.0700700700702	4	0.5749873226945543	-1.8402641250689696e-10	1
6283185.307179586	1997.947947947948	4	0.6667867587291303	-1.816497199381743e-09	1
6283185.307179586	1239.6396396396397	2	1.125237431799457	9.800363218852935e-11	1
6283185.307179586	2352.7527527527527	5	0.5668306110307082	-9.777332633374562e-10	1
6283185.307179586	829.1791791791792	9	0.509272477728318	-1.5769180012616909e-09	1
6283185.307179586	696.996996996997	2	1.2236922440984719	-6.086808536183685e-10	2
6283185.307179586	3319.76976976977	7	1.3985963355090187	-7.477004544898337e-10	2
6283185.307179586	2471.021021021021	10	1.4705740086217363	1.7779230395747749e-09	1
6283185.307179586	1858.8088088088089	2	-0.7847547949187679	-9.138380879795429e-10	1
6283185.307179586	2575.3753753753754	1	-1.2829652317527676	-1.9770318247147583e-09	1
6283185.307179586	3799.7997997998	5	0.5968427457236727	-1.232023086363248e-09	1
6283185.307179586	982.2322322322323	2	-1.2515366615641326	-7.579547900298059e-10	2
6283185.307179586	1323.1231231231232	1	0.6749536823012665	2.7470760692250067e-10	1
6283185.307179586	550.900900900901	1	0.022751362634976013	-1.8472925195756088e-09	1
6283185.307179586	1295.2952952952953	7	0.9155258382746463	-4.5516882965089023e-10	2
6283185.307179586	1670.970970970971	10	-1.2883674259938922	-1.8989871267488213e-09	1
6283185.307179586	2331.881881881882	5	1.4326623454045828	-1.4859178209642568e-09	2
6283185.307179586	1128.3283283283283	4	0.536963266543105	-1.2542836451384108e-09	1
6283185.307179586	363.06306306306305	1	-0.8633874640440151	-2.43453494415193e-10	1
6283185.307179586	1497.047047047047	10	1.259890206410085	1.1178158299061092e-11	2
6283185.307179586	2582.3323323323325	3	0.2508038647013311	-1.772987140181822e-09	1
6283185.307179586	1469.2192192192192	8	0.34292776940130243	6.733442221869231e-10	1
6283185.307179586	1378.7787787787788	4	1.0233368337078845	-5.36638012868159e-10	2
6283185.307179586	975.2752752752752	10	-0.7079084661849186	-7.84036319666114e-10	1
6283185.307179586	383.93393393393393	10	-1.5684810416633095	1.4569557425089285e-09	2
6283185.307179586	1622.2722722722724	1	0.9338789909975755	-1.8003518811876097e-09	1
6283185.307179586	2359.70970970971	10	1.215755213084027	1.6914757159186756e-09	1
6283185.307179586	870.9209209209209	1	-0.5741708448464559	1.7317749973722549e-09	1
6283185.307179586	2185.7857857857857	4	-1.0732589633066458	-1.6430447162803459e-09	1
6283185.307179586	2053.603603603604	5	-1.4321129922229634	6.928711439988728e-10	2
6283185.307179586	2756.256256256256	6	-1.276109640930976	8.84439739054466e-10	1
6283185.307179586	370.02002002002	6	-1.4338283879803455	6.13374492314675e-10	1
6283185.307179586	1197.897897897898	10	-1.0506257245883996	-9.386330984001318e-10	1
6283185.307179586	1462.2622622622623	2	1.3675236271117024	-4.993277714913468e-10	2
6283185.307179586	662.2122122122122	2	0.6396937192755803	-8.661473885919425e-10	2
6283185.307179586	1044.8448448448448	4	1.3937025522439677	-8.520864310701396e-10	2
