axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1225.7257257257259	3	0.3763054796183716	-1.6473764247978543e-09	0
6283185.307179586	390.8908908908909	5	-0.9154191504094433	1.35022346241391e-09	2
6283185.307179586	1260.5105105105106	2	-1.4861611880867942	7.427606313442294e-10	2
6283185.307179586	1420.5205205205204	5	-0.1662734613987178	1.3154528821362101e-09	0
6283185.307179586	1684.884884884885	3	-1.483993771939827	3.4587129924533063e-10	2
6283185.307179586	1740.5405405405406	4	-1.340454158413084	6.819830911977038e-10	1
6283185.307179586	1469.2192192192192	4	0.8887872646990416	6.891188344991352e-11	1
6283185.307179586	1587.4874874874874	2	0.22939854989152764	-1.402852109564286e-09	0
6283185.307179586	1072.6726726726727	2	0.024714937760534905	-1.038205553344604e-09	0
6283185.307179586	2331.881881881882	2	0.5633701924656576	2.6287305378339145e-10	2
6283185.307179586	1796.1961961961963	6	0.1627460509696219	-7.218933925470972e-10	0
6283185.307179586	1768.3683683683685	6	0.7166033404125609	-9.072464175569973e-10	0
6283185.307179586	2401.4514514514517	4	-1.3954627971121367	1.4373481889293452e-09	1
6283185.307179586	1455.3053053053054	5	0.5673397594520342	-3.4569647114440205e-10	2
6283185.307179586	1371.821821821822	2	-0.11190810362238635	1.054053819302888e-09	0
6283185.307179586	1441.3913913913914	6	1.4795302741500418	7.362701859868235e-10	2
6283185.307179586	808.3083083083084	1	1.3136711139274109	7.394054265853953e-10	2
6283185.307179586	1545.7457457457458	4	-0.3701483438386186	-3.750205229373705e-10	2
6283185.307179586	2582.3323323323325	6	-0.4670495897935629	1.9821060268779025e-09	0
6283185.307179586	1114.4144144144145	4	0.9512567704763613	1.6950466114961694e-09	0
6283185.307179586	926.5765765765766	3	0.38501808487539546	-1.5764818277445552e-10	2
6283185.307179586	1719.6696696696697	6	0.6154363013157456	5.711072980291517e-10	2
6283185.307179586	1490.0900900900901	1	1.2921882553063262	1.3366601773231858e-09	1
6283185.307179586	752.6526526526527	3	-1.023429445622254	1.6179641253856003e-09	0
6283185.307179586	2269.2692692692694	5	-0.4324214473300929	1.4006620846634993e-09	0
6283185.307179586	613.5135135135135	6	0.12630891637305797	-1.1228481651223695e-09	0
6283185.307179586	3138.888888888889	4	0.9700313451785378	1.5035408248022474e-09	0
6283185.307179586	2366.6666666666665	2	0.13553247516503641	-1.655648214458784e-09	0
6283185.307179586	1559.6596596596596	4	0.08262953091347724	-2.2199600578019318e-10	1
6283185.307179586	2338.838838838839	6	1.4925917480106796	-6.724546654980786e-10	1
6283185.307179586	2589.289289289289	3	1.261428355003675	1.0072606481099877e-09	1
6283185.307179586	1573.5735735735736	5	1.1617498336522067	1.3750463539824034e-09	1
6283185.307179586	1497.047047047047	3	1.121113496749158	2.4776863484134023e-11	2
6283185.307179586	2658.858858858859	1	1.2815911180563377	1.125537459628716e-09	1
6283185.307179586	947.4474474474474	5	0.1699844999244995	6.694014255853017e-10	1
6283185.307179586	794.3943943943945	5	1.3311911168333186	-1.874085751980945e-10	1
6283185.307179586	1490.0900900900901	3	1.2130145428972128	-7.201318002651656e-10	1
6283185.307179586	1719.6696696696697	6	-1.2402562338563052	-5.225519978525358e-10	2
6283185.307179586	1490.0900900900901	3	-0.31076749897545763	4.203383924717905e-10	2
6283185.307179586	2477.977977977978	6	-1.058230086774411	-3.0314195947959596e-10	2
6283185.307179586	1740.5405405405406	6	0.45793992917801063	-7.370389977684634e-10	0
6283185.307179586	2846.6966966966966	1	1.533024791907188	9.885268948541267e-10	2
6283185.307179586	1211.8118118118118	3	-0.4995019720621974	1.2977758348333746e-09	0
6283185.307179586	2735.3853853853852	3	-0.7323127516605665	1.729979793584399e-09	0
6283185.307179586	1872.7227227227227	3	1.456760916865588	1.181988110842835e-09	2
6283185.307179586	2693.643643643644	5	0.6255464637150556	4.634036917146362e-10	1
6283185.307179586	1963.1631631631633	6	1.3413346943936908	-4.348544238044566e-10	2
6283185.307179586	1928.3783783783783	3	1.3727604881520432	-4.451414757368343e-10	1
6283185.307179586	453.5035035035035	4	-0.035846709779175034	1.9002396810937973e-09	0
6283185.307179586	2359.70970970971	6	0.2813627684533151	3.581617062141113e-10	1
6283185.307179586	2985.835835835836	6	-1.0299583360044258	2.529860447035331e-10	2
6283185.307179586	2074.474474474475	1	-0.39756629292187284	1.1703092209523063e-09	0
6283185.307179586	3006.706706706707	6	-1.0158566204697332	-5.125585908115139e-10	1
6283185.307179586	1775.3253253253254	1	-0.1806003977625006	-3.5182910253215385e-10	1
6283185.307179586	1907.5075075075076	1	-1.0078578987702702	1.9288818512225674e-09	0
6283185.307179586	2693.643643643644	2	0.950785839859444	6.822191488076174e-10	1
6283185.307179586	2401.4514514514517	2	-1.0690630493607476	6.785158555975496e-10	2
6283185.307179586	571.7717717717718	2	1.3611626182681422	1.5112464547184146e-09	1
6283185.307179586	1761.4114114114116	3	0.8190456850058387	-1.0770068892966332e-09	0
6283185.307179586	2853.6536536536537	4	-1.2752064114481294	4.848872919113874e-10	1
6283185.307179586	1747.4974974974975	2	0.5625080259413955	-9.442152853745261e-11	1
6283185.307179586	2206.6566566566567	2	-1.509474210394911	7.243182085696409e-10	2
6283185.307179586	2505.805805805806	4	-0.5159773765097802	-1.485111243326581e-09	0
6283185.307179586	1928.3783783783783	5	-0.4152250320149997	1.4063654383583864e-09	0
