axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	2637.987987987988	5	-1.3265199594032324	1.446773336774644e-09	2
6283185.307179586	3152.802802802803	5	-1.076244603865058	-1.4691650376762793e-09	0
6283185.307179586	3410.2102102102103	1	-0.43386324607609406	8.293198674966825e-10	0
6283185.307179586	1316.1661661661662	1	-1.3137356641991826	-1.930795415633517e-09	1
6283185.307179586	3744.1441441441443	1	-1.0268084214193403	1.242538043779079e-09	0
6283185.307179586	2443.193193193193	1	-0.9581567163195149	-1.9326493700238127e-09	0
6283185.307179586	1448.3483483483483	2	1.124692264281356	1.870373007266491e-09	0
6283185.307179586	996.1461461461462	5	-0.2946648438729482	1.6664371562050488e-09	0
6283185.307179586	2011.8618618618618	5	1.043154471935611	7.242366424892151e-10	2
6283185.307179586	1761.4114114114116	2	-0.913139915501431	1.1034119416451472e-09	0
6283185.307179586	1093.5435435435436	5	-1.541953922099412	-3.0999610589208873e-10	2
6283185.307179586	1963.1631631631633	5	0.2259045765053569	1.1207637292904052e-09	0
6283185.307179586	2171.871871871872	3	-0.3748606408160815	8.41392643226123e-10	0
6283185.307179586	1302.2522522522522	4	0.4301516563564354	2.0010942597427097e-10	2
6283185.307179586	3048.4484484484487	5	-0.16392728558932368	-1.8860850986553908e-09	0
6283185.307179586	933.5335335335336	2	0.4632716114448474	4.634204280204448e-10	1
6283185.307179586	1970.1201201201202	3	-0.4972740356762191	6.674375744917612e-10	0
6283185.307179586	1990.9909909909911	4	-0.38311122797175257	-5.972808725551677e-10	0
6283185.307179586	2192.742742742743	4	0.3744715992633678	7.319497458413876e-10	0
6283185.307179586	2053.603603603604	5	1.3336640403134528	1.3319888420884088e-09	2
6283185.307179586	557.8578578578579	3	0.7597250566392231	-1.0312629563797532e-09	1
6283185.307179586	1837.937937937938	5	-1.1728479332718411	1.2207840614739853e-09	1
6283185.307179586	2749.2992992992995	1	-0.5190310035582493	-6.726535489432237e-10	0
6283185.307179586	1984.034034034034	1	0.37389908828753127	-5.558299418801243e-10	1
6283185.307179586	1343.993993993994	3	1.1580366073342203	6.777971098588851e-10	1
6283185.307179586	3055.4054054054054	1	-1.4676522463165174	-1.8427922536242372e-09	2
6283185.307179586	773.5235235235235	1	-1.1760913666579078	-5.257620743598138e-10	1
6283185.307179586	2039.6896896896897	4	-0.9075256267004487	5.266032749917522e-10	1
6283185.307179586	2276.226226226226	1	-1.344909642171615	-1.9430407987717743e-09	1
6283185.307179586	2742.3423423423424	5	0.558721051290247	1.3873787822227689e-09	0
6283185.307179586	1629.2292292292293	2	0.5297169335812955	-1.7154644522324057e-09	0
6283185.307179586	822.2222222222223	2	0.724017497458675	-1.745206203067344e-09	0
6283185.307179586	1469.2192192192192	1	-0.7058280694156804	1.2480337242526905e-09	0
6283185.307179586	2039.6896896896897	2	0.33458469172326466	-4.4853017211518854e-11	2
6283185.307179586	1657.0570570570571	4	1.04996805831951	-6.766157051090738e-10	1
6283185.307179586	1921.4214214214214	4	-0.08350012031192455	1.9869111396162207e-09	0
6283185.307179586	1629.2292292292293	1	-0.5974400011616714	-1.909826256060776e-09	0
6283185.307179586	1615.3153153153153	4	-0.8376166834967439	1.8885801463319165e-09	0
6283185.307179586	1051.801801801802	5	0.4073315984361381	-7.237554113076634e-11	2
6283185.307179586	1177.027027027027	1	-0.2755314627874088	2.2376405679290822e-10	2
6283185.307179586	2464.064064064064	3	0.7621849287184181	1.3402204618307316e-09	0
6283185.307179586	634.3843843843844	1	-0.34274789126260274	-7.652616569876444e-10	2
6283185.307179586	2102.3023023023025	1	-1.2481424254309836	5.109314860551618e-10	1
6283185.307179586	2192.742742742743	3	-0.5704187216775303	3.4171726634969784e-10	1
6283185.307179586	1323.1231231231232	5	-1.0931573031634194	1.3222235778119193e-09	1
6283185.307179586	1914.4644644644645	4	1.112268246548672	8.808330400262759e-10	1
6283185.307179586	2011.8618618618618	5	0.09186876392545984	1.9379781375960683e-09	0
6283185.307179586	2276.226226226226	5	-0.08184056895666147	1.6046477799811794e-09	0
6283185.307179586	1824.0240240240241	4	-0.5593230990104789	6.838556974561599e-10	0
6283185.307179586	1872.7227227227227	3	-1.2976328780847972	1.944748649429611e-09	0
6283185.307179586	536.986986986987	2	1.3837738716462007	1.1285929741630618e-09	1
6283185.307179586	1789.2392392392394	1	-1.2838456891578702	1.2964253389497236e-09	2
6283185.307179586	2297.097097097097	4	-1.1132332016515616	-5.481089163618477e-10	2
6283185.307179586	2860.610610610611	1	1.3020272609972667	8.499603991882558e-10	2
6283185.307179586	1086.5865865865867	1	-0.43743246479521636	9.311392158024207e-10	0
6283185.307179586	1385.7357357357357	1	-1.5311378707210095	-1.8997726534854624e-09	2
6283185.307179586	3278.028028028028	4	-1.1218536078886823	-1.4971410438323405e-09	0
6283185.307179586	2860.610610610611	3	-0.38590669683976353	1.7976949957981828e-09	0
6283185.307179586	1051.801801801802	5	1.4094973333232876	-3.9913856928234055e-10	1
6283185.307179586	2067.5175175175173	4	0.07646417255609927	1.0418138710041913e-09	0
6283185.307179586	2262.3123123123123	2	0.8047703678681843	1.4632867146031272e-09	0
6283185.307179586	2088.388388388388	3	-1.2436176405003385	1.786114402058639e-09	0
6283185.307179586	1782.2822822822823	1	-0.5951895611291784	6.688960281910233e-10	0
6283185.307179586	1719.6696696696697	2	-1.4242495037804657	5.7841010794464823e-11	1
6283185.307179586	676.1261261261261	5	1.2323603570453332	-7.717673593534654e-10	2
6283185.307179586	2853.6536536536537	3	0.10682830337208316	2.937534743895345e-10	2
6283185.307179586	2971.921921921922	2	1.3716260955640367	3.318511673503981e-10	2
6283185.307179586	989.1891891891892	5	0.2720145126054567	-1.0764443465125712e-09	0
6283185.307179586	2644.944944944945	5	-0.44179779600272884	-1.2302647101117833e-09	0
6283185.307179586	1218.7687687687687	2	-1.1323063374042102	2.1888741324586634e-11	2
6283185.307179586	3403.253253253253	4	1.3816240816866987	1.6437626099873499e-09	1
