axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1740.5405405405406	5	0.04533517054826075	5.052184390056864e-10	1
6283185.307179586	1886.6366366366367	8	1.4314720748513174	1.2317879536466143e-10	2
6283185.307179586	1260.5105105105106	3	0.6955114020260456	-1.4827269285802163e-09	1
6283185.307179586	2561.4614614614616	3	-1.5500509122658133	-1.3351116271019624e-09	2
6283185.307179586	4029.3793793793793	4	0.5623723763341992	-1.3747260604510687e-09	1
6283185.307179586	1163.113113113113	2	-0.4579332600570636	1.9502288160960875e-09	1
6283185.307179586	1615.3153153153153	8	-1.081351402670992	1.6302079258043406e-09	1
6283185.307179586	898.7487487487488	2	1.1954314309177017	-8.370633384255246e-10	1
6283185.307179586	1970.1201201201202	5	-1.1028747860988375	-1.6220887560025595e-09	1
6283185.307179586	1990.9909909909911	1	0.9720367518787527	-8.806386067497069e-10	1
6283185.307179586	1281.3813813813815	3	-1.0902076004060621	-1.1410573416821226e-11	1
6283185.307179586	1879.6796796796798	6	-0.9361388604021538	-6.520963986229874e-10	1
6283185.307179586	1914.4644644644645	5	-0.45352385532150397	1.0961836207268968e-09	1
6283185.307179586	3076.2762762762763	2	-1.1252677490612684	2.0560074955226577e-10	2
6283185.307179586	2144.0440440440443	6	-1.401833645400423	5.929648476550926e-10	1
6283185.307179586	1510.960960960961	8	1.2017848786615017	-1.778013605970871e-09	1
6283185.307179586	1288.3383383383384	2	1.4856138313664062	-1.33593842546517e-09	2
6283185.307179586	1100.5005005005005	3	-1.4298487888118276	6.752633073817315e-10	1
6283185.307179586	1023.973973973974	7	1.0600081458285513	-1.4437010719697742e-09	1
6283185.307179586	2832.7827827827828	6	-1.4897086440220915	-6.292837997724231e-10	2
6283185.307179586	2916.2662662662665	5	1.1407212307761645	-1.148127478053135e-09	1
6283185.307179586	2227.5275275275276	7	1.3680947896439082	-6.298897761729538e-10	1
6283185.307179586	516.1161161161161	4	0.8434742053612951	1.9254485845729767e-09	1
6283185.307179586	2109.259259259259	4	1.2530140264246046	1.1706712584403421e-09	2
6283185.307179586	2902.352352352352	1	1.088454547734671	-4.937732403526484e-10	1
6283185.307179586	2067.5175175175173	4	-0.9256898718251337	-5.460531117068049e-10	1
6283185.307179586	2436.2362362362364	8	-0.3591236625826211	1.4360849387553922e-09	1
6283185.307179586	2144.0440440440443	2	-1.222921380119067	-4.72706934907198e-10	2
6283185.307179586	2770.1701701701704	1	0.6187265353052629	3.757953504096724e-10	1
6283185.307179586	2484.934934934935	8	-1.170627337589237	-3.70663618868369e-10	2
6283185.307179586	1810.11011011011	8	0.7614298329177505	-1.0634165976086562e-10	2
6283185.307179586	1051.801801801802	2	1.1319902903786163	-1.7997199766480573e-09	1
6283185.307179586	662.2122122122122	8	1.3540167980371494	3.722582663987394e-10	2
6283185.307179586	2032.7327327327328	3	0.23778660834436427	1.1681270731112138e-09	1
6283185.307179586	3104.1041041041044	1	-0.29090213225584827	-1.193228281995217e-09	1
6283185.307179586	1768.3683683683685	3	-0.5796312468089722	1.5745059610779528e-09	1
6283185.307179586	1566.6166166166167	7	-0.8635005420084181	1.6189056842710035e-09	1
6283185.307179586	1935.3353353353355	6	-0.3257225848146106	-9.68388761842014e-10	1
6283185.307179586	1817.0670670670672	3	0.7828092912397842	4.542369206059369e-10	1
6283185.307179586	2811.911911911912	1	-0.1537205011225713	1.96076990216811e-09	1
6283185.307179586	2624.0740740740744	2	-1.37036660138033	1.9559398935595673e-09	1
6283185.307179586	1107.4574574574574	8	1.1632219879010126	8.147758402721197e-10	2
6283185.307179586	2728.4284284284286	8	0.08830636475832354	1.8296666014150956e-09	1
6283185.307179586	1350.950950950951	5	-0.6097703759680234	-1.7756067962419399e-09	1
6283185.307179586	1003.1031031031031	8	0.12372466428861228	1.76972478090111e-09	1
6283185.307179586	2192.742742742743	2	0.3249218776952485	5.1445520292829135e-11	2
6283185.307179586	2387.5375375375374	8	-0.3995235816993412	-9.84066250416115e-10	1
6283185.307179586	3305.855855855856	8	0.23778520670608083	-7.659245272991067e-10	1
6283185.307179586	2025.7757757757759	1	0.38433490695441486	7.387281536283411e-10	1
6283185.307179586	1413.5635635635635	4	0.3585936836157311	-1.2563172571708048e-09	1
6283185.307179586	1552.7027027027027	3	0.06136155585212433	-5.270360111271679e-10	1
6283185.307179586	2617.1171171171172	4	0.6885941714614723	6.712989168179165e-10	1
6283185.307179586	2533.6336336336335	4	1.0140834473836535	-5.084585452459495e-10	1
6283185.307179586	1281.3813813813815	5	-0.6063193909586655	-6.89148543906451e-10	1
6283185.307179586	1357.9079079079079	4	-1.5111994109829585	7.526235156370923e-10	1
6283185.307179586	2582.3323323323325	4	0.33385605234114446	3.034767154139462e-10	2
6283185.307179586	2074.474474474475	1	-1.3841133051640202	-1.808777121355036e-09	2
6283185.307179586	1239.6396396396397	4	-0.822192397171496	1.0300854444828814e-09	0
6283185.307179586	1872.7227227227227	7	0.6677860969867999	-1.9423355064408914e-09	1
6283185.307179586	2331.881881881882	7	-0.5561695873828865	1.2524139933446072e-09	1
6283185.307179586	822.2222222222223	1	0.33962118713385214	1.3415287804162976e-09	1
6283185.307179586	1364.864864864865	2	-0.016534074238941043	-3.2830313056005574e-10	1
6283185.307179586	1670.970970970971	2	-0.7029470837439203	1.6118325442585648e-09	1
6283185.307179586	335.2352352352352	3	0.3322347255707272	-3.089574418545769e-10	1
6283185.307179586	2283.1831831831832	6	-1.2221401461759616	1.5195418240797703e-10	1
