axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1830.980980980981	1	-0.1059372790793165	-7.457883716006048e-10	0
6283185.307179586	1114.4144144144145	3	0.499354419597565	8.865256692148776e-10	0
6283185.307179586	3312.812812812813	4	1.074147762939575	-4.9806638233407096e-11	2
6283185.307179586	1670.970970970971	1	0.33089299462415367	-2.999416850095763e-11	2
6283185.307179586	1664.014014014014	2	-0.4560839123281444	-7.811614436130898e-10	0
6283185.307179586	1218.7687687687687	2	-0.4018168263481152	-1.236538389945395e-09	0
6283185.307179586	2895.3953953953956	3	-0.4459488183137592	-3.176430893981333e-10	2
6283185.307179586	1504.004004004004	1	-1.0562557718075372	1.3656261117870354e-09	0
6283185.307179586	1643.143143143143	4	0.7104504280666464	-5.510328270047973e-10	0
6283185.307179586	2568.4184184184187	1	-0.7383621277769423	1.3998146652154917e-09	0
6283185.307179586	3041.4914914914916	2	-1.062215292623475	-4.807693852528479e-10	2
6283185.307179586	1142.2422422422424	2	0.801987562409856	-2.0267053149362097e-10	2
6283185.307179586	1879.6796796796798	2	1.3106251874340908	1.2087790184636007e-09	1
6283185.307179586	2797.997997997998	4	-1.2194911888182571	3.378905543749766e-11	2
6283185.307179586	1803.1531531531532	4	-0.41310116378075	-7.941427394526346e-10	0
6283185.307179586	1670.970970970971	4	0.5469131382724415	-1.3790818950814546e-09	0
6283185.307179586	1893.5935935935936	2	0.2682100693480527	-1.6655333774733823e-09	0
6283185.307179586	1371.821821821822	3	-0.12742404488801506	-1.5338070467965969e-09	0
6283185.307179586	1517.917917917918	1	0.22305207083368694	1.5025444925847554e-09	0
6283185.307179586	2262.3123123123123	4	0.13220119580671352	1.3564775561682183e-09	0
6283185.307179586	1211.8118118118118	4	-1.509645899417361	-1.4406904746938159e-09	2
6283185.307179586	1726.6266266266266	1	0.0029979216862727753	-1.240941838984931e-09	0
6283185.307179586	2269.2692692692694	3	-0.2385296727634434	1.3277699347846523e-09	0
6283185.307179586	4405.055055055055	3	-0.7082894310112995	3.1383984484719023e-10	2
6283185.307179586	1316.1661661661662	4	1.5033631421555342	5.396278169493537e-10	1
6283185.307179586	2116.2162162162163	3	1.497054837125018	7.704635391834142e-10	2
6283185.307179586	2283.1831831831832	1	1.2007775430042757	1.7595138637524177e-09	0
6283185.307179586	2366.6666666666665	2	-1.4466644780789777	1.3478580258713675e-09	2
6283185.307179586	1357.9079079079079	2	-1.074682624755345	1.655114692129142e-09	0
6283185.307179586	3006.706706706707	2	0.545040615627086	-1.2465191278125928e-09	0
6283185.307179586	2067.5175175175173	2	-0.3843425832647007	-1.5542071714419083e-09	0
6283185.307179586	1531.8318318318318	3	-0.06761320862054898	2.367016953237031e-11	2
6283185.307179586	2248.3983983983985	4	-0.3474183985628172	2.0969722683142188e-10	1
6283185.307179586	2004.904904904905	2	-1.3579572181508481	-1.5995508311463086e-10	1
6283185.307179586	1337.0370370370372	4	0.1775333952904432	-1.7422516615779907e-09	0
6283185.307179586	1490.0900900900901	2	0.7409599547003491	1.5465921700717803e-10	2
6283185.307179586	2387.5375375375374	1	-0.5729011351583778	-1.501049520333785e-09	0
6283185.307179586	564.8148148148148	3	-0.2216533490924837	6.170465213439434e-10	1
6283185.307179586	1170.0700700700702	4	0.7703909928476089	-1.6978329273519092e-09	0
6283185.307179586	954.4044044044044	3	-0.34524433501782315	-1.1868618650148362e-09	0
