axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	2804.954954954955	9	-0.6943496915255155	-1.6361192088529852e-09	1
6283185.307179586	2206.6566566566567	8	-0.5241109675549818	1.0889110636905588e-09	1
6283185.307179586	1100.5005005005005	9	-0.15420451365370824	-1.318551698297366e-09	1
6283185.307179586	1789.2392392392394	6	1.5571645614585932	-1.2569624435981991e-10	1
6283185.307179586	2436.2362362362364	6	-0.47346164844136096	1.6630116814235998e-09	1
6283185.307179586	1872.7227227227227	8	0.5105034664277168	-1.566258589466866e-09	1
6283185.307179586	1309.2092092092093	5	-0.7900033726598176	-1.3432234719729356e-09	1
6283185.307179586	1907.5075075075076	4	0.8250018736636311	1.1831968625047983e-09	1
6283185.307179586	1295.2952952952953	9	0.015062865072208442	-1.1556739995605483e-09	1
6283185.307179586	3284.984984984985	9	-0.6789396485602415	-2.415705677121883e-10	2
6283185.307179586	2366.6666666666665	8	-0.628638596244008	6.087861158893235e-10	1
6283185.307179586	1504.004004004004	3	0.9966210533274853	1.0608232964622787e-09	1
6283185.307179586	1197.897897897898	5	0.17018243490857254	2.698828515793508e-10	1
6283185.307179586	2749.2992992992995	8	-1.070537217790959	1.4429139123343953e-10	2
6283185.307179586	1531.8318318318318	9	-1.0935660940092453	5.43016247757413e-10	2
6283185.307179586	1490.0900900900901	6	-1.086050571918714	-8.011254454979631e-11	2
6283185.307179586	2728.4284284284286	8	-1.279041669387247	-9.399793502932675e-10	1
6283185.307179586	703.9539539539539	9	0.2304093895488637	-9.999382278059435e-12	1
6283185.307179586	2060.5605605605606	1	-1.093264741198824	-4.683374791971598e-10	2
6283185.307179586	2651.901901901902	6	0.6302529148091054	-1.354579042886727e-09	1
6283185.307179586	690.04004004004	3	-1.159539862912026	-1.2692825297267573e-09	1
6283185.307179586	1455.3053053053054	9	0.9897873067371443	1.8953424008517976e-09	1
6283185.307179586	2053.603603603604	2	-1.4308316667848588	-1.7501111600263727e-09	1
6283185.307179586	2011.8618618618618	4	1.4776804005197453	-2.871970918810915e-10	1
6283185.307179586	2958.008008008008	1	-0.29564525663337893	-4.431175944728266e-10	1
6283185.307179586	1608.3583583583584	3	-0.13984232159921772	-1.7773962210363777e-09	1
6283185.307179586	1142.2422422422424	6	-1.1014667478426476	-9.632065554176777e-10	1
6283185.307179586	1858.8088088088089	5	-0.8934182362317469	-6.28567919109662e-11	1
6283185.307179586	2046.6466466466468	4	-0.7168327706264936	3.6176183431418353e-10	1
6283185.307179586	2331.881881881882	5	-1.3921437147191225	1.5548583786171285e-09	1
6283185.307179586	1796.1961961961963	9	-0.28950439835478736	-1.352478406060993e-09	1
6283185.307179586	919.6196196196197	1	1.5495534570237992	-9.300501326240724e-10	2
