axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	2053.603603603604	5	-1.1181398520220494	-1.3559508257840158e-09	0
6283185.307179586	2109.259259259259	7	0.32022814447232406	-7.682686682394748e-10	0
6283185.307179586	2338.838838838839	2	1.2692077705717977	-2.3376197893367667e-10	2
6283185.307179586	1190.940940940941	3	-1.1660558389183477	2.9959329268797445e-11	2
6283185.307179586	1837.937937937938	7	0.9273573471769514	1.5919841012679626e-09	0
6283185.307179586	2811.911911911912	4	-0.9817125266881714	-1.6896878780815792e-09	0
6283185.307179586	2512.762762762763	2	-1.1400082530495959	1.8607506117212365e-09	0
6283185.307179586	2297.097097097097	3	0.573209374928572	1.3555144291045878e-09	0
6283185.307179586	1455.3053053053054	7	-1.2188030695259544	6.6641751163466e-10	2
6283185.307179586	1455.3053053053054	7	-1.2612665177820008	1.5781166441551208e-09	2
6283185.307179586	1086.5865865865867	4	0.683708549987891	-1.6107257685483175e-09	0
6283185.307179586	1051.801801801802	5	-1.3277519532843798	-1.0555110473963811e-09	2
6283185.307179586	2039.6896896896897	2	-1.0290236691257844	1.0607302341148773e-09	0
6283185.307179586	3118.018018018018	2	0.3275952134956519	-1.3750321289751825e-09	0
6283185.307179586	1824.0240240240241	1	-0.5418317384754288	-1.1063098118387359e-10	2
6283185.307179586	683.0830830830831	5	-1.3605607626121463	1.2725008868632144e-09	2
6283185.307179586	724.8248248248249	3	-0.6056828331848233	-1.8581821348375055e-09	0
6283185.307179586	2234.4844844844847	4	-1.2389899075383022	1.6801127715433044e-09	0
6283185.307179586	1058.7587587587586	5	1.564428019756483	-4.450620574816422e-10	2
6283185.307179586	1643.143143143143	5	1.2189328486365127	9.486098721758454e-10	2
6283185.307179586	1100.5005005005005	4	0.5574202465574318	1.5084703376465021e-09	0
6283185.307179586	2888.4384384384384	1	-1.0385971424653508	-7.248638315101801e-11	1
6283185.307179586	2171.871871871872	3	-1.0888691057228599	1.8750355782194812e-09	0
6283185.307179586	1211.8118118118118	1	-0.45655801381268035	1.7378881479355366e-09	0
6283185.307179586	460.46046046046047	1	-0.9753214705745328	-1.5826931195927952e-09	1
6283185.307179586	3069.319319319319	3	-1.0019622788722886	-9.564162260764566e-10	0
6283185.307179586	1135.2852852852852	7	-1.4634724988596675	1.2373693348244982e-09	2
6283185.307179586	2373.6236236236236	4	-0.7384502418175038	1.3486668378031911e-09	0
6283185.307179586	3180.6306306306305	4	0.7607252402683371	-1.3737171039341169e-09	0
6283185.307179586	2394.4944944944946	3	-0.8214598138817412	1.1859093541324507e-09	0
6283185.307179586	1288.3383383383384	5	-0.08464874756953122	1.1161998377897217e-09	0
6283185.307179586	1378.7787787787788	5	-0.5232203939053615	-1.0634061556077036e-10	2
6283185.307179586	3570.22022022022	2	-0.7915570837726315	1.0833111905910749e-10	2
6283185.307179586	863.963963963964	7	1.026296427660188	3.9147433720639186e-10	1
6283185.307179586	2777.127127127127	1	0.483953478604604	7.745940293525226e-10	0
6283185.307179586	1921.4214214214214	3	-1.4059586686408523	-1.975136830497924e-09	1
6283185.307179586	3605.005005005005	6	0.8300236771027381	-1.0344706467680075e-09	0
6283185.307179586	2505.805805805806	7	-1.2721579664984546	-9.8864533846635e-10	2
6283185.307179586	2603.2032032032034	6	-0.9799738200695319	-5.082220608330083e-10	1
6283185.307179586	1044.8448448448448	4	0.49093516971358	1.0839121279821157e-09	0
6283185.307179586	2610.16016016016	3	-1.3291208992632366	-1.4381949030069793e-09	2
6283185.307179586	1719.6696696696697	5	0.46058145691533703	-4.843473972464525e-11	2
6283185.307179586	1128.3283283283283	6	-1.5137333474597647	-1.9399606621376304e-09	1
6283185.307179586	1483.1331331331332	4	-0.5748433134041834	1.8877419153623133e-09	0
6283185.307179586	2185.7857857857857	6	0.8780869001492948	8.42485803898321e-10	1
6283185.307179586	1316.1661661661662	2	-0.0946921434634822	1.1722240917521569e-09	0
6283185.307179586	1664.014014014014	3	-1.1681751680208197	-1.0643922363924473e-09	1
6283185.307179586	2164.914914914915	2	-0.5367205338163394	-7.105321502373939e-10	0
6283185.307179586	822.2222222222223	6	0.5400071147017949	-1.1832904037548934e-10	1
6283185.307179586	2345.795795795796	4	-0.35147636984822395	1.1584670060041921e-09	0
6283185.307179586	1204.854854854855	4	-1.0223609458366663	5.649138929137863e-10	1
6283185.307179586	940.4904904904905	1	0.7491565055071452	3.430288735324946e-10	1
