axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angleXY(rads) 	 angleZ(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
3141592.653589793	2562.162162162162	2	-0.26973270258094173	-0.9678644033786736	-3.115577889447237e-10	2
3141592.653589793	2121.171171171171	2	-1.5707963267948966	-1.1582639581416914	-1.6984924623115579e-09	2
3141592.653589793	946.8468468468468	2	1.348663512904709	-0.3649324799624507	-1.1557788944723618e-09	1
3141592.653589793	649.5495495495495	2	1.3169302537775396	0.3649324799624507	9.949748743718591e-10	0
3141592.653589793	1491.8918918918919	1	1.031330921633013	0.8091981077428256	1.8592964824120607e-09	2
3141592.653589793	1600.900900900901	1	-0.7457315894884862	0.14279966607226346	-9.748743718592967e-10	2
3141592.653589793	1001.3513513513514	1	-0.4918655164711292	1.1582639581416916	-1.8391959798994977e-09	1
3141592.653589793	1932.882882882883	2	-0.42839899821678995	-1.1265306990145216	1.3969849246231156e-09	2
3141592.653589793	2591.891891891892	2	0.07933314781792422	-1.189997217268861	1.015075376884422e-09	0
3141592.653589793	2577.027027027027	1	-0.7774648486156558	0.7457315894884862	-1.035175879396985e-09	2
3141592.653589793	2056.7567567567567	2	0.5235987755982991	-1.2534637355232003	2.7135678391959813e-10	1
3141592.653589793	1422.5225225225224	1	0.30146596170811146	0.11106640694509373	-2.914572864321608e-10	0
3141592.653589793	595.0450450450451	1	1.5073298085405575	-0.23799944345377222	2.5125628140703525e-10	1
3141592.653589793	1140.0900900900901	2	-1.5390630676677268	-0.3966657390896202	-1.1356783919597991e-09	2
3141592.653589793	1977.4774774774776	1	-0.26973270258094173	1.5073298085405575	1.115577889447236e-09	2
3141592.653589793	2012.162162162162	1	1.0630641807601826	-1.0313309216330129	1.336683417085427e-09	2
3141592.653589793	1541.4414414414414	2	0.5553320347254687	-0.46013225734395946	3.9195979899497504e-10	2
3141592.653589793	1640.5405405405406	2	1.3169302537775396	-0.4918655164711292	6.13065326633166e-10	0
3141592.653589793	1481.981981981982	1	0.8726646259971647	-0.9678644033786736	6.532663316582913e-10	2
3141592.653589793	1932.882882882883	1	1.3169302537775396	0.11106640694509373	1.909547738693466e-10	2
3141592.653589793	1254.054054054054	2	-1.2851969946503699	1.5707963267948966	1.879396984924623e-09	2
3141592.653589793	1080.6306306306305	2	0.14279966607226346	0.26973270258094195	-1.1758793969849247e-09	0
3141592.653589793	1908.1081081081081	1	-1.2534637355232003	0.04759988869075449	-7.537688442211055e-10	0
3141592.653589793	3667.1171171171172	1	-0.14279966607226324	0.5235987755982991	-1.6984924623115579e-09	2
3141592.653589793	1358.1081081081081	1	-0.46013225734395946	-0.8726646259971648	-1.2964824120603016e-09	1
3141592.653589793	2636.4864864864867	1	0.015866629563584977	0.26973270258094195	-5.125628140703517e-10	2
3141592.653589793	1764.4144144144145	1	-1.5390630676677268	-1.0947974398873521	2.7135678391959813e-10	1
