timestep,ion,r,z,vr,vz,Erfi_before,Ezfi_before,Erfi_after,Ezfi_after
15,0,-1.7236e-31,4.792586e-06,-2.029654e-20,-2.737333e-05,-1.545323e-24,-0.7142728,-5.313417e-16,-0.7142728
15,1,-5.683659e-32,-8.035092e-20,-6.690305e-21,2.420609e-16,9.514042e-25,6.288303e-12,-1.749422e-16,6.320773e-12
15,2,-2.386686e-32,-4.792586e-06,-2.808735e-21,2.737333e-05,5.939186e-25,0.7142728,-7.339266e-17,0.7142728
16,0,-1.939298e-31,4.792586e-06,-2.156983e-20,-2.908416e-05,-1.751625e-24,-0.7142728,-5.315954e-16,-0.7142728
16,1,-6.394606e-32,-8.035092e-20,-7.109463e-21,2.571835e-16,1.078443e-24,6.281198e-12,-1.749987e-16,6.313673e-12
16,2,-2.685143e-32,-4.792586e-06,-2.984566e-21,2.908416e-05,6.731822e-25,0.7142728,-7.340941e-17,0.7142728
17,0,-2.167735e-31,4.792586e-06,-2.284372e-20,-3.0795e-05,-1.970877e-24,-0.7142728,-5.318493e-16,-0.7142728
17,1,-7.147481e-32,-8.035092e-20,-7.528757e-21,2.723061e-16,1.213461e-24,6.281198e-12,-1.750552e-16,6.313685e-12
17,2,-3.001186e-32,-4.792586e-06,-3.160437e-21,3.0795e-05,7.574167e-25,0.7142728,-7.342617e-17,0.7142728
18,0,-2.408885e-31,4.792586e-06,-2.411498e-20,-3.250583e-05,-2.203087e-24,-0.7142728,-5.307532e-16,-0.7142728
18,1,-7.942193e-32,-8.035092e-20,-7.947122e-21,2.874287e-16,1.356463e-24,6.281198e-12,-1.746673e-16,6.31369e-12
18,2,-3.334777e-32,-4.792586e-06,-3.335902e-21,3.250583e-05,8.466241e-25,0.7142728,-7.325657e-17,0.7142728
19,0,-2.662753e-31,4.792586e-06,-2.538686e-20,-3.421666e-05,-2.448227e-24,-0.7142728,-5.310067e-16,-0.7142728
19,1,-8.778756e-32,-8.035092e-20,-8.365622e-21,3.025684e-16,1.507433e-24,6.288303e-12,-1.747237e-16,6.320801e-12
19,2,-3.685917e-32,-4.792586e-06,-3.511407e-21,3.421666e-05,9.40794e-25,0.7142728,-7.32733e-17,0.7142728
20,0,-2.929347e-31,4.792586e-06,-2.665934e-20,-3.59275e-05,-2.706306e-24,-0.7142728,-5.312604e-16,-0.7142728
20,1,-9.657181e-32,-8.035092e-20,-8.784257e-21,3.177251e-16,1.666378e-24,6.295409e-12,-1.747801e-16,6.327917e-12
20,2,-4.054612e-32,-4.792586e-06,-3.686952e-21,3.59275e-05,1.039929e-24,0.7142728,-7.329002e-17,0.7142728
21,0,-3.208671e-31,4.792586e-06,-2.793242e-20,-3.763833e-05,-2.977331e-24,-0.7142728,-5.315143e-16,-0.7142728
21,1,-1.057748e-31,-8.035092e-20,-9.203027e-21,3.328647e-16,1.833301e-24,6.288303e-12,-1.748365e-16,6.320817e-12
21,2,-4.440866e-32,-4.792586e-06,-3.862537e-21,3.763833e-05,1.14403e-24,0.7142728,-7.330675e-17,0.7142728
22,0,-3.500732e-31,4.792586e-06,-2.920612e-20,-3.934916e-05,-3.261308e-24,-0.7142728,-5.317684e-16,-0.7142728
22,1,-1.153968e-31,-8.035092e-20,-9.621932e-21,3.480044e-16,2.008207e-24,6.288303e-12,-1.748929e-16,6.320829e-12
22,2,-4.844682e-32,-4.792586e-06,-4.038162e-21,3.934916e-05,1.2531e-24,0.7142728,-7.332349e-17,0.7142728
23,0,-3.805536e-31,4.792586e-06,-3.048043e-20,-4.106e-05,-3.558244e-24,-0.7142728,-5.320226e-16,-0.7142728
23,1,-1.254377e-31,-8.035092e-20,-1.004097e-20,3.631271e-16,2.191102e-24,6.281198e-12,-1.749494e-16,6.313729e-12
23,2,-5.266065e-32,-4.792586e-06,-4.213827e-21,4.106e-05,1.367142e-24,0.7142728,-7.334023e-17,0.7142728
24,0,-4.12309e-31,4.792586e-06,-3.175534e-20,-4.277083e-05,-3.868148e-24,-0.7142728,-5.32277e-16,-0.7142728
24,1,-1.358979e-31,-8.035092e-20,-1.046015e-20,3.782839e-16,2.381991e-24,6.295409e-12,-1.750059e-16,6.327945e-12
24,2,-5.705018e-32,-4.792586e-06,-4.389532e-21,4.277083e-05,1.486157e-24,0.7142728,-7.335698e-17,0.7142728
25,0,-4.453398e-31,4.792586e-06,-3.303087e-20,-4.448166e-05,-4.191025e-24,-0.7142728,-5.325315e-16,-0.7142728
25,1,-1.467774e-31,-8.035092e-20,-1.087946e-20,3.933896e-16,2.580878e-24,6.274092e-12,-1.750624e-16,6.30664e-12
25,2,-6.161546e-32,-4.792586e-06,-4.565278e-21,4.448166e-05,1.610148e-24,0.7142728,-7.337373e-17,0.7142728
26,0,-4.796468e-31,4.792586e-06,-3.4307e-20,-4.619249e-05,-4.526884e-24,-0.7142728,-5.327862e-16,-0.7142728
26,1,-1.580763e-31,-8.035092e-20,-1.129891e-20,4.085464e-16,2.787768e-24,6.295409e-12,-1.75119e-16,6.327962e-12
26,2,-6.635652e-32,-4.792586e-06,-4.741064e-21,4.619249e-05,1.739116e-24,0.7142728,-7.339048e-17,0.7142728
27,0,-5.152306e-31,4.792586e-06,-3.558374e-20,-4.790333e-05,-4.87573e-24,-0.7142728,-5.33041e-16,-0.7142728
27,1,-1.697947e-31,-8.035092e-20,-1.171849e-20,4.237032e-16,3.002666e-24,6.295409e-12,-1.751755e-16,6.327967e-12
27,2,-7.127341e-32,-4.792586e-06,-4.916889e-21,4.790333e-05,1.873064e-24,0.7142728,-7.340724e-17,0.7142728
28,0,-5.520917e-31,4.792586e-06,-3.68611e-20,-4.961416e-05,-5.237573e-24,-0.7142728,-5.332961e-16,-0.7142728
28,1,-1.81933e-31,-8.035092e-20,-1.213821e-20,4.38826e-16,3.225578e-24,6.281198e-12,-1.752321e-16,6.313767e-12
28,2,-7.636617e-32,-4.792586e-06,-5.092755e-21,4.961416e-05,2.011994e-24,0.7142728,-7.342401e-17,0.7142728
29,0,-5.902308e-31,4.792586e-06,-3.813907e-20,-5.132499e-05,-5.612417e-24,-0.7142728,-5.335512e-16,-0.7142728
29,1,-1.94491e-31,-8.035091e-20,-1.255806e-20,4.539659e-16,3.456508e-24,6.288303e-12,-1.752887e-16,6.320878e-12
29,2,-8.163483e-32,-4.792586e-06,-5.268661e-21,5.132499e-05,2.155909e-24,0.7142728,-7.344078e-17,0.7142728
30,0,-6.296484e-31,4.792586e-06,-3.941765e-20,-5.303583e-05,-6.000271e-24,-0.7142728,-5.338066e-16,-0.7142728
30,1,-2.074691e-31,-8.035091e-20,-1.297805e-20,4.691227e-16,3.695461e-24,6.295409e-12,-1.753454e-16,6.327989e-12
30,2,-8.707944e-32,-4.792586e-06,-5.444607e-21,5.303583e-05,2.30481e-24,0.7142728,-7.345755e-17,0.7142728
31,0,-6.703452e-31,4.792586e-06,-4.069684e-20,-5.474666e-05,-6.401142e-24,-0.7142728,-5.340621e-16,-0.7142728
31,1,-2.208672e-31,-8.035091e-20,-1.339817e-20,4.842626e-16,3.942443e-24,6.288303e-12,-1.75402e-16,6.320895e-12
31,2,-9.270003e-32,-4.792586e-06,-5.620594e-21,5.474666e-05,2.458699e-24,0.7142728,-7.347433e-17,0.7142728
32,0,-7.123219e-31,4.792586e-06,-4.197664e-20,-5.645749e-05,-6.815037e-24,-0.7142728,-5.343178e-16,-0.7142728
32,1,-2.346857e-31,-8.035091e-20,-1.381843e-20,4.993854e-16,4.197457e-24,6.281198e-12,-1.754587e-16,6.313795e-12
32,2,-9.849665e-32,-4.792586e-06,-5.79662e-21,5.645749e-05,2.617579e-24,0.7142728,-7.349111e-17,0.7142728
33,0,-7.555789e-31,4.792586e-06,-4.325706e-20,-5.816833e-05,-7.241963e-24,-0.7142728,-5.345736e-16,-0.7142728
33,1,-2.489245e-31,-8.035091e-20,-1.423883e-20,5.144913e-16,4.46051e-24,6.274092e-12,-1.755154e-16,6.306695e-12
33,2,-1.044693e-31,-4.792586e-06,-5.972687e-21,5.816833e-05,2.781452e-24,0.7142728,-7.35079e-17,0.7142728
34,0,-8.001138e-31,4.792586e-06,-4.453483e-20,-5.987916e-05,-7.681927e-24,-0.7142728,-5.33469e-16,-0.7142728
34,1,-2.635828e-31,-8.035091e-20,-1.465829e-20,5.296482e-16,4.731606e-24,6.295409e-12,-1.751255e-16,6.328022e-12
34,2,-1.106177e-31,-4.792586e-06,-6.148346e-21,5.987916e-05,2.950321e-24,0.7142728,-7.333765e-17,0.7142728
35,0,-8.45927e-31,4.792586e-06,-4.581321e-20,-6.158999e-05,-8.134903e-24,-0.7142728,-5.337245e-16,-0.7142728
35,1,-2.786607e-31,-8.035091e-20,-1.507789e-20,5.448052e-16,5.010729e-24,6.295409e-12,-1.751821e-16,6.328028e-12
35,2,-1.169417e-31,-4.792586e-06,-6.324046e-21,6.158999e-05,3.124174e-24,0.7142728,-7.33544e-17,0.7142728
36,0,-8.930192e-31,4.792586e-06,-4.70922e-20,-6.330083e-05,-8.600899e-24,-0.7142728,-5.339802e-16,-0.7142728
36,1,-2.941583e-31,-8.035091e-20,-1.549762e-20,5.599622e-16,5.297885e-24,6.295409e-12,-1.752388e-16,6.328033e-12
36,2,-1.234415e-31,-4.792586e-06,-6.499785e-21,6.330083e-05,3.303014e-24,0.7142728,-7.337116e-17,0.7142728
37,0,-9.41391e-31,4.792586e-06,-4.837181e-20,-6.501166e-05,-9.079921e-24,-0.7142728,-5.34236e-16,-0.7142728
37,1,-3.100758e-31,-8.035091e-20,-1.591749e-20,5.751191e-16,5.593079e-24,6.295409e-12,-1.752954e-16,6.328044e-12
37,2,-1.301171e-31,-4.792586e-06,-6.675564e-21,6.501166e-05,3.486842e-24,0.7142728,-7.338793e-17,0.7142728
38,0,-9.91043e-31,4.792586e-06,-4.965203e-20,-6.672249e-05,-9.571977e-24,-0.7142728,-5.34492e-16,-0.7142728
38,1,-3.264133e-31,-8.035091e-20,-1.63375e-20,5.902421e-16,5.896315e-24,6.281198e-12,-1.753521e-16,6.313839e-12
38,2,-1.369685e-31,-4.792586e-06,-6.851384e-21,6.672249e-05,3.675662e-24,0.7142728,-7.34047e-17,0.7142728
39,0,-1.041976e-30,4.792586e-06,-5.093286e-20,-6.843332e-05,-1.007707e-23,-0.7142728,-5.347482e-16,-0.7142728
39,1,-3.431709e-31,-8.035091e-20,-1.675764e-20,6.053481e-16,6.207598e-24,6.274092e-12,-1.754088e-16,6.306739e-12
39,2,-1.439957e-31,-4.792586e-06,-7.027244e-21,6.843332e-05,3.869475e-24,0.7142728,-7.342147e-17,0.7142728
40,0,-1.09419e-30,4.792586e-06,-5.221431e-20,-7.014416e-05,-1.059522e-23,-0.7142728,-5.350045e-16,-0.7142728
40,1,-3.603488e-31,-8.035091e-20,-1.717791e-20,6.205051e-16,6.526934e-24,6.295409e-12,-1.754655e-16,6.328067e-12
40,2,-1.511989e-31,-4.792586e-06,-7.203144e-21,7.014416e-05,4.068284e-24,0.7142728,-7.343825e-17,0.7142728
41,0,-1.147687e-30,4.792586e-06,-5.349637e-20,-7.185499e-05,-1.112642e-23,-0.7142728,-5.35261e-16,-0.7142728
41,1,-3.779472e-31,-8.035091e-20,-1.759833e-20,6.356452e-16,6.854328e-24,6.288303e-12,-1.755223e-16,6.320966e-12
41,2,-1.585779e-31,-4.792586e-06,-7.379084e-21,7.185499e-05,4.272091e-24,0.7142728,-7.345503e-17,0.7142728
42,0,-1.202466e-30,4.792586e-06,-5.477905e-20,-7.356582e-05,-1.167068e-23,-0.7142728,-5.355177e-16,-0.7142728
42,1,-3.95966e-31,-8.035091e-20,-1.801888e-20,6.507852e-16,7.189784e-24,6.288303e-12,-1.755791e-16,6.320972e-12
42,2,-1.66133e-31,-4.792586e-06,-7.555064e-21,7.356582e-05,4.480897e-24,0.7142728,-7.347182e-17,0.7142728
43,0,-1.258528e-30,4.792586e-06,-5.606234e-20,-7.527666e-05,-1.222801e-23,-0.7142728,-5.357745e-16,-0.7142728
43,1,-4.144056e-31,-8.035091e-20,-1.843956e-20,6.659083e-16,7.533308e-24,6.281198e-12,-1.756359e-16,6.313878e-12
43,2,-1.738641e-31,-4.792586e-06,-7.731085e-21,7.527666e-05,4.694706e-24,0.7142728,-7.348861e-17,0.7142728
44,0,-1.315874e-30,4.792586e-06,-5.734625e-20,-7.698749e-05,-1.279842e-23,-0.7142728,-5.360314e-16,-0.7142728
44,1,-4.33266e-31,-8.035091e-20,-1.886038e-20,6.810143e-16,7.884904e-24,6.274092e-12,-1.756927e-16,6.306778e-12
44,2,-1.817712e-31,-4.792586e-06,-7.907146e-21,7.698749e-05,4.913518e-24,0.7142728,-7.350541e-17,0.7142728
45,0,-1.374505e-30,4.792586e-06,-5.863077e-20,-7.869832e-05,-1.338192e-23,-0.7142728,-5.362886e-16,-0.7142728
45,1,-4.525473e-31,-8.035091e-20,-1.928134e-20,6.961544e-16,8.244578e-24,6.288303e-12,-1.757496e-16,6.320994e-12
45,2,-1.898545e-31,-4.792586e-06,-8.083247e-21,7.869832e-05,5.137338e-24,0.7142728,-7.352221e-17,0.7142728
46,0,-1.434421e-30,4.792586e-06,-5.991591e-20,-8.040916e-05,-1.39785e-23,-0.7142728,-5.365459e-16,-0.7142728
46,1,-4.722498e-31,-8.03509e-20,-1.970243e-20,7.112775e-16,8.612334e-24,6.281198e-12,-1.758064e-16,6.3139e-12
46,2,-1.981139e-31,-4.792586e-06,-8.259388e-21,8.040916e-05,5.366166e-24,0.7142728,-7.353901e-17,0.7142728
47,0,-1.495623e-30,4.792586e-06,-6.120167e-20,-8.211999e-05,-1.458818e-23,-0.7142728,-5.368034e-16,-0.7142728
47,1,-4.923734e-31,-8.03509e-20,-2.012366e-20,7.264177e-16,8.988178e-24,6.288303e-12,-1.758633e-16,6.321011e-12
47,2,-2.065494e-31,-4.792586e-06,-8.43557e-21,8.211999e-05,5.600005e-24,0.7142728,-7.355582e-17,0.7142728
48,0,-1.558111e-30,4.792586e-06,-6.248804e-20,-8.383082e-05,-1.521097e-23,-0.7142728,-5.37061e-16,-0.7142728
48,1,-5.129184e-31,-8.03509e-20,-2.054503e-20,7.415408e-16,9.372114e-24,6.281198e-12,-1.759203e-16,6.313911e-12
48,2,-2.151612e-31,-4.792586e-06,-8.611792e-21,8.383082e-05,5.838856e-24,0.7142728,-7.357264e-17,0.7142728
49,0,-1.621886e-30,4.792586e-06,-6.377504e-20,-8.554166e-05,-1.584687e-23,-0.7142728,-5.373188e-16,-0.7142728
49,1,-5.33885e-31,-8.03509e-20,-2.096653e-20,7.56664e-16,9.764148e-24,6.281198e-12,-1.759772e-16,6.313922e-12
49,2,-2.239493e-31,-4.792586e-06,-8.788054e-21,8.554166e-05,6.082724e-24,0.7142728,-7.358946e-17,0.7142728
50,0,-1.686945e-30,4.792586e-06,-6.505936e-20,-8.725249e-05,-1.649589e-23,-0.7142728,-5.362057e-16,-0.7142728
50,1,-5.552721e-31,-8.03509e-20,-2.138709e-20,7.718042e-16,1.016428e-23,6.288303e-12,-1.755852e-16,6.321033e-12
50,2,-2.329132e-31,-4.792586e-06,-8.963907e-21,8.725249e-05,6.331608e-24,0.7142728,-7.341855e-17,0.7142728
51,0,-1.753289e-30,4.792586e-06,-6.63443e-20,-8.896332e-05,-1.715801e-23,-0.7142728,-5.364632e-16,-0.7142728
51,1,-5.770799e-31,-8.03509e-20,-2.180779e-20,7.869274e-16,1.057251e-23,6.281198e-12,-1.756421e-16,6.313933e-12
51,2,-2.42053e-31,-4.792586e-06,-9.1398e-21,8.896332e-05,6.5855e-24,0.7142728,-7.343534e-17,0.7142728
52,0,-1.820919e-30,4.792586e-06,-6.762986e-20,-9.067415e-05,-1.783322e-23,-0.7142728,-5.367208e-16,-0.7142728
52,1,-5.993085e-31,-8.03509e-20,-2.222863e-20,8.020846e-16,1.098882e-23,6.295409e-12,-1.756989e-16,6.328155e-12
52,2,-2.513687e-31,-4.792586e-06,-9.315733e-21,9.067415e-05,6.8444e-24,0.7142728,-7.345213e-17,0.7142728
53,0,-1.889835e-30,4.792586e-06,-6.891604e-20,-9.238499e-05,-1.852155e-23,-0.7142728,-5.369786e-16,-0.7142728
53,1,-6.219581e-31,-8.03509e-20,-2.26496e-20,8.171909e-16,1.141324e-23,6.274092e-12,-1.757558e-16,6.306844e-12
53,2,-2.608604e-31,-4.792586e-06,-9.491707e-21,9.238499e-05,7.108312e-24,0.7142728,-7.346893e-17,0.7142728
54,0,-1.960038e-30,4.792586e-06,-7.020283e-20,-9.409582e-05,-1.922299e-23,-0.7142728,-5.372366e-16,-0.7142728
54,1,-6.450288e-31,-8.03509e-20,-2.307071e-20,8.323311e-16,1.184575e-23,6.288303e-12,-1.758128e-16,6.321061e-12
54,2,-2.705281e-31,-4.792586e-06,-9.66772e-21,9.409582e-05,7.377237e-24,0.7142728,-7.348573e-17,0.7142728
55,0,-2.031528e-30,4.792586e-06,-7.149024e-20,-9.580665e-05,-1.993755e-23,-0.7142728,-5.374947e-16,-0.7142728
55,1,-6.685208e-31,-8.03509e-20,-2.349195e-20,8.474374e-16,1.228637e-23,6.274092e-12,-1.758697e-16,6.306861e-12
55,2,-2.803719e-31,-4.792586e-06,-9.843774e-21,9.580665e-05,7.651178e-24,0.7142728,-7.350253e-17,0.7142728
56,0,-2.104307e-30,4.792586e-06,-7.277828e-20,-9.751749e-05,-2.066525e-23,-0.7142728,-5.37753e-16,-0.7142728
56,1,-6.924341e-31,-8.03509e-20,-2.391334e-20,8.625947e-16,1.273511e-23,6.295409e-12,-1.759267e-16,6.328183e-12
56,2,-2.903918e-31,-4.792586e-06,-1.001987e-20,9.751749e-05,7.930137e-24,0.7142728,-7.351934e-17,0.7142728
57,0,-2.178373e-30,4.792586e-06,-7.406693e-20,-9.922832e-05,-2.140608e-23,-0.7142728,-5.380115e-16,-0.7142728
57,1,-7.167689e-31,-8.03509e-20,-2.433485e-20,8.77701e-16,1.319196e-23,6.274092e-12,-1.759837e-16,6.306872e-12
57,2,-3.005878e-31,-4.792586e-06,-1.0196e-20,9.922832e-05,8.214116e-24,0.7142728,-7.353616e-17,0.7142728
58,0,-2.25373e-30,4.792586e-06,-7.53562e-20,-0.0001009392,-2.216005e-23,-0.7142727,-5.382701e-16,-0.7142727
58,1,-7.415255e-31,-8.035089e-20,-2.475651e-20,8.928243e-16,1.365693e-23,6.281198e-12,-1.760407e-16,6.313989e-12
58,2,-3.1096e-31,-4.792586e-06,-1.037218e-20,0.0001009392,8.503117e-24,0.7142727,-7.355298e-17,0.7142727
59,0,-2.330376e-30,4.792586e-06,-7.664609e-20,-0.00010265,-2.292718e-23,-0.7142727,-5.385289e-16,-0.7142727
59,1,-7.667037e-31,-8.035089e-20,-2.51783e-20,9.079306e-16,1.413003e-23,6.274092e-12,-1.760977e-16,6.306889e-12
59,2,-3.215084e-31,-4.792586e-06,-1.054839e-20,0.00010265,8.797142e-24,0.7142727,-7.35698e-17,0.7142727
60,0,-2.408312e-30,4.792586e-06,-7.79366e-20,-0.0001043608,-2.370746e-23,-0.7142727,-5.387879e-16,-0.7142727
60,1,-7.92304e-31,-8.035089e-20,-2.560023e-20,9.23071e-16,1.461127e-23,6.288303e-12,-1.761548e-16,6.321105e-12
60,2,-3.32233e-31,-4.792586e-06,-1.072465e-20,0.0001043608,9.096194e-24,0.7142727,-7.358663e-17,0.7142727
61,0,-2.48754e-30,4.792586e-06,-7.922773e-20,-0.0001060717,-2.450091e-23,-0.7142727,-5.39047e-16,-0.7142727
61,1,-8.183263e-31,-8.035089e-20,-2.602229e-20,9.382284e-16,1.510064e-23,6.295409e-12,-1.762119e-16,6.328222e-12
61,2,-3.43134e-31,-4.792586e-06,-1.090094e-20,0.0001060717,9.400276e-24,0.7142727,-7.360346e-17,0.7142727
62,0,-2.56806e-30,4.792586e-06,-8.051948e-20,-0.0001077825,-2.530754e-23,-0.7142727,-5.393063e-16,-0.7142727
62,1,-8.447708e-31,-8.035089e-20,-2.644449e-20,9.533688e-16,1.559815e-23,6.288303e-12,-1.76269e-16,6.321122e-12
62,2,-3.542112e-31,-4.792586e-06,-1.107728e-20,0.0001077825,9.709388e-24,0.7142727,-7.36203e-17,0.7142727
63,0,-2.649871e-30,4.792586e-06,-8.181185e-20,-0.0001094933,-2.612734e-23,-0.7142727,-5.395657e-16,-0.7142727
63,1,-8.716376e-31,-8.035089e-20,-2.686683e-20,9.685093e-16,1.610381e-23,6.288303e-12,-1.763262e-16,6.321127e-12
63,2,-3.654649e-31,-4.792586e-06,-1.125366e-20,0.0001094933,1.002353e-23,0.7142727,-7.363714e-17,0.7142727
64,0,-2.732976e-30,4.792586e-06,-8.310485e-20,-0.0001112041,-2.696034e-23,-0.7142727,-5.398254e-16,-0.7142727
64,1,-8.989269e-31,-8.035089e-20,-2.72893e-20,9.836327e-16,1.661762e-23,6.281198e-12,-1.763833e-16,6.314033e-12
64,2,-3.76895e-31,-4.792586e-06,-1.143007e-20,0.0001112041,1.034271e-23,0.7142727,-7.365399e-17,0.7142727
65,0,-2.817371e-30,4.792586e-06,-8.439515e-20,-0.000112915,-2.780653e-23,-0.7142727,-5.387041e-16,-0.7142727
65,1,-9.266377e-31,-8.035089e-20,-2.771084e-20,9.987732e-16,1.71396e-23,6.288303e-12,-1.759893e-16,6.321144e-12
65,2,-3.88501e-31,-4.792586e-06,-1.160608e-20,0.000112915,1.066693e-23,0.7142727,-7.348246e-17,0.7142727
